                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5926,                 3.8917,                 1.3884,                0.00333,                 0.9375,                0.38186,                0.20902,                 1.5334,                 3.9503,                 1.1631,                0.00026,                0.00026,                0.00026
                      2,                 1.5222,                 2.3268,                 1.2566,                0.00317,                0.89062,                0.30772,                0.14777,                 1.3991,                 3.9253,                 1.2137,             0.00053733,             0.00053733,             0.00053733
                      3,                 1.5508,                  2.108,                 1.2182,                  0.003,                0.84375,                0.20808,                0.08665,                  1.357,                 3.9226,                 1.2518,             0.00081188,             0.00081188,             0.00081188
                      4,                 1.5845,                 2.0423,                 1.2846,                0.00374,                 0.5625,                0.08851,                0.04105,                 1.4955,                 4.0636,                 1.3985,              0.0010837,              0.0010837,              0.0010837
                      5,                 1.5031,                 1.8395,                 1.2655,                 0.6519,                0.15625,                0.25394,                0.11554,                 1.6164,                   3.88,                 1.4908,              0.0013527,              0.0013527,              0.0013527
                      6,                 1.5413,                 1.8801,                 1.2729,                0.41936,                0.26562,                0.22271,                0.09665,                 1.7382,                  3.809,                 1.6143,              0.0016189,              0.0016189,              0.0016189
                      7,                 1.6296,                 1.8084,                 1.3281,                0.66383,                 0.3125,                0.33983,                0.19303,                 1.6898,                 3.1356,                 1.5089,              0.0018824,              0.0018824,              0.0018824
                      8,                 1.5405,                 1.6852,                 1.3208,                0.11736,                0.34375,                0.08171,                0.04391,                 1.5988,                 5.4429,                 1.6352,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.5288,                 1.6806,                 1.3203,                0.57052,                 0.4375,                0.41316,                 0.2102,                 1.6955,                 2.8078,                 1.6199,              0.0019307,              0.0019307,              0.0019307
                     10,                 1.5857,                 1.6049,                 1.3042,                0.35401,                   0.25,                0.22312,                0.07853,                 1.8504,                 3.2323,                 1.6374,              0.0019208,              0.0019208,              0.0019208
                     11,                 1.5554,                 1.6212,                 1.3355,                0.79739,                0.54688,                0.60268,                0.32934,                 1.6448,                 1.9977,                 1.4539,              0.0019109,              0.0019109,              0.0019109
                     12,                 1.5527,                 1.5483,                 1.3098,                0.66223,                0.48438,                 0.5958,                0.26349,                 1.6766,                 1.8214,                 1.6518,               0.001901,               0.001901,               0.001901
                     13,                 1.5467,                 1.4364,                 1.2965,                0.67586,                0.65625,                0.65914,                0.35579,                 1.7052,                 1.6427,                 1.5217,              0.0018911,              0.0018911,              0.0018911
                     14,                 1.5464,                 1.3449,                  1.311,                0.64108,                0.64062,                0.55992,                 0.2949,                 1.6326,                 1.7539,                 1.5246,              0.0018812,              0.0018812,              0.0018812
                     15,                 1.5616,                 1.2841,                   1.32,                0.58346,                0.59375,                0.52187,                0.25352,                 1.5919,                 1.9736,                 1.4398,              0.0018713,              0.0018713,              0.0018713
                     16,                 1.5587,                 1.2765,                 1.3896,                0.64266,                0.67188,                0.65756,                 0.3694,                 1.6149,                 1.6561,                 1.4499,              0.0018614,              0.0018614,              0.0018614
                     17,                 1.5081,                 1.1934,                 1.3004,                0.65873,                0.57311,                0.65725,                0.36723,                 1.6108,                 1.7191,                 1.5023,              0.0018515,              0.0018515,              0.0018515
                     18,                 1.4924,                 1.2319,                 1.2757,                0.85104,                0.60938,                0.75545,                 0.4187,                 1.5193,                 1.7372,                 1.3684,              0.0018416,              0.0018416,              0.0018416
                     19,                 1.4531,                 1.1706,                 1.3239,                 0.7793,                0.70312,                0.75489,                0.36903,                   1.61,                 1.6639,                 1.3424,              0.0018317,              0.0018317,              0.0018317
                     20,                 1.4304,                 1.1854,                 1.2779,                 0.8261,                  0.625,                0.72236,                0.39067,                 1.5358,                 1.7109,                 1.3358,              0.0018218,              0.0018218,              0.0018218
                     21,                 1.5384,                 1.1745,                 1.2864,                0.69888,                0.72534,                0.73847,                0.39282,                 1.6548,                 1.3277,                 1.3491,              0.0018119,              0.0018119,              0.0018119
                     22,                  1.586,                 1.1458,                 1.3345,                0.87888,                0.57812,                0.69204,                0.31618,                  1.856,                 1.5076,                 1.4455,               0.001802,               0.001802,               0.001802
                     23,                 1.4535,                 1.0891,                 1.2471,                0.78268,                0.57812,                0.67243,                0.33745,                   1.69,                 1.6011,                  1.493,              0.0017921,              0.0017921,              0.0017921
                     24,                 1.4293,                 1.0779,                 1.2508,                0.56167,                0.67188,                 0.5599,                0.27052,                 1.6294,                 1.7011,                 1.4198,              0.0017822,              0.0017822,              0.0017822
                     25,                 1.4058,                 1.0609,                 1.2356,                 0.3031,                0.67188,                0.29985,                0.15508,                 1.6671,                 2.0733,                 1.4562,              0.0017723,              0.0017723,              0.0017723
